"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"1","Araba/Álava",663,6,6,44,747,"Vias urbanas",2019
"2","Albacete",538,5,5,41,601,"Vias urbanas",2019
"3","Alicante/Alacant",1496,29,29,176,1683,"Vias urbanas",2019
"4","Almería",425,8,8,40,485,"Vias urbanas",2019
"5","Ávila",108,2,2,10,135,"Vias urbanas",2019
"6","Badajoz",488,8,9,34,617,"Vias urbanas",2019
"7","Balears (Illes)",2026,19,19,127,2297,"Vias urbanas",2019
"8","Barcelona",15425,76,76,631,18367,"Vias urbanas",2019
"9","Burgos",342,4,4,32,389,"Vias urbanas",2019
"10","Cáceres",208,2,2,19,233,"Vias urbanas",2019
"11","Cádiz",2036,14,14,135,2540,"Vias urbanas",2019
"12","Castellón/Castelló",364,6,6,46,404,"Vias urbanas",2019
"13","Ciudad Real",179,3,3,10,221,"Vias urbanas",2019
"14","Córdoba",607,13,13,61,726,"Vias urbanas",2019
"15","Coruña (A)",717,7,7,91,798,"Vias urbanas",2019
"16","Cuenca",62,2,2,16,58,"Vias urbanas",2019
"17","Girona",1285,12,12,103,1476,"Vias urbanas",2019
"18","Granada",897,7,7,62,1064,"Vias urbanas",2019
"19","Guadalajara",50,3,3,6,56,"Vias urbanas",2019
"20","Gipuzkoa",880,6,6,58,967,"Vias urbanas",2019
"21","Huelva",288,5,5,31,364,"Vias urbanas",2019
"22","Huesca",166,2,2,20,171,"Vias urbanas",2019
"23","Jaén",440,7,7,17,569,"Vias urbanas",2019
"24","León",289,9,9,40,312,"Vias urbanas",2019
"25","Lleida",472,9,9,51,523,"Vias urbanas",2019
"26","Rioja (La)",393,2,2,28,438,"Vias urbanas",2019
"27","Lugo",133,3,3,23,150,"Vias urbanas",2019
"28","Madrid",13412,62,63,674,15935,"Vias urbanas",2019
"29","Málaga",4079,17,17,167,5072,"Vias urbanas",2019
"30","Murcia",2091,19,19,167,2667,"Vias urbanas",2019
